Pessoa;Produção
Adrienne Corri;Laranja Mecânica
Akemi Okamura;Porco Rosso - O Porquinho Voador
Akihiro Kitamura;A Centopéia Humana - Primeira Sequência
Akio _tsuka;Porco Rosso - O Porquinho Voador
Anna Torv;Fringe - 1ª Temporada, Fringe - 2ª Temporada
Anthony Burgess;Laranja Mecânica
Arthur C. Clarke;2001: Uma Odisséia no Espaço, 2010: Uma Odisseia no Espaço 2, 2061: Uma Odisseia no Espaço 3, 3001: A Odisséia Final, The Last Theorem
Ashley C. Williams;A Centopéia Humana - Primeira Sequência
Ashlynn Yennie;A Centopéia Humana - Primeira Sequência
Benedict Cumberbatch;O Hobbit - A Batalha dos Cinco Exércitos, O Hobbit - A Desolação de Smaug, O Hobbit - Uma Jornada Inesperada
Blair Brown;Fringe - 1ª Temporada, Fringe - 2ª Temporada
Cate Blanchett;Senhor dos Anéis - A Sociedade do Anel, Senhor dos Anéis - As Duas Torres, Senhor dos Anéis - O Retorno do Rei
Chika Sakamoto;Meu Vizinho Totoro
Dakota Fanning;A Guerra dos Mundos
Dana Ashbrook;Twin Peaks - 1ª Temporada
Dieter Laser;A Centopéia Humana - Primeira Sequência
Douglas Rain;2001: Uma Odisséia no Espaço
Elijah Wood;Senhor dos Anéis - A Sociedade do Anel, Senhor dos Anéis - As Duas Torres, Senhor dos Anéis - O Retorno do Rei
Frederik Pohl;The Last Theorem
Gary Lockwood;2001: Uma Odisséia no Espaço
George C Scott;Dr. Fantástico
Hayao Miyazaki;A Viagem de Chihiro, Meu Vizinho Totoro, Porco Rosso - O Porquinho Voador
HG Wells;A Guerra dos Mundos
Hitoshi Takagi;Meu Vizinho Totoro
Homero;Ilíada, Odisséia
Ian McKellen;O Hobbit - A Batalha dos Cinco Exércitos, O Hobbit - A Desolação de Smaug, O Hobbit - Uma Jornada Inesperada, Senhor dos Anéis - A Sociedade do Anel, Senhor dos Anéis - As Duas Torres, Senhor dos Anéis - O Retorno do Rei
Jasika Nicole;Fringe - 1ª Temporada, Fringe - 2ª Temporada
JJ Abrams;Star Trek Into Darkness
John Noble;Fringe - 1ª Temporada, Fringe - 2ª Temporada
Joseph Cotten;Cidadão Kane
Joshua Jackson;Fringe - 1ª Temporada, Fringe - 2ª Temporada
Justin Chatwin;A Guerra dos Mundos
Keir Dullea;2001: Uma Odisséia no Espaço
Kirk Acevedo;Fringe - 1ª Temporada, Fringe - 2ª Temporada
Kubrick;2001: Uma Odisséia no Espaço, Dr. Fantástico, Laranja Mecânica
Kyle MacLachlan;Twin Peaks - 1ª Temporada
Lance Reddick;Fringe - 1ª Temporada, Fringe - 2ª Temporada
Lara Flynn Boyle;Twin Peaks - 1ª Temporada
Leonard Nimoy;Fringe - 1ª Temporada, Fringe - 2ª Temporada
Liv Tyler;Senhor dos Anéis - A Sociedade do Anel, Senhor dos Anéis - As Duas Torres, Senhor dos Anéis - O Retorno do Rei
Mädchen Amick;Twin Peaks - 1ª Temporada
Malcolm McDowell;Laranja Mecânica
Mari Natsuki;A Viagem de Chihiro
Mark Valley;Fringe - 1ª Temporada, Fringe - 2ª Temporada
Martin Freeman;O Hobbit - A Batalha dos Cinco Exércitos, O Hobbit - A Desolação de Smaug, O Hobbit - Uma Jornada Inesperada
Michael Ontkean;Twin Peaks - 1ª Temporada
Miranda Otto;A Guerra dos Mundos
Miriam Karlim;Laranja Mecânica
Miyu Irino;A Viagem de Chihiro
Noriko Hidaka;Meu Vizinho Totoro
Orlando Bloom;O Hobbit - A Batalha dos Cinco Exércitos, O Hobbit - A Desolação de Smaug, O Hobbit - Uma Jornada Inesperada
Orson Welles;Cidadão Kane
Patrick Magee;Laranja Mecânica
Peter Jackson;O Hobbit - A Batalha dos Cinco Exércitos, O Hobbit - A Desolação de Smaug, O Hobbit - Uma Jornada Inesperada, Senhor dos Anéis - A Sociedade do Anel, Senhor dos Anéis - As Duas Torres, Senhor dos Anéis - O Retorno do Rei
Peter Selles;Dr. Fantástico
Richard Armitage;O Hobbit - A Batalha dos Cinco Exércitos, O Hobbit - A Desolação de Smaug, O Hobbit - Uma Jornada Inesperada
Richard Beymer;Twin Peaks - 1ª Temporada
Rumi Hiragi;A Viagem de Chihiro
Sean Astin;Senhor dos Anéis - A Sociedade do Anel, Senhor dos Anéis - As Duas Torres, Senhor dos Anéis - O Retorno do Rei
Sherilyn Fenn;Twin Peaks - 1ª Temporada
Shigesato Itoi;Meu Vizinho Totoro
Shuichiro Moriyama;Porco Rosso - O Porquinho Voador
Steven Spielberg;A Guerra dos Mundos
Tim Robbins;A Guerra dos Mundos
Tokiko Kato;Porco Rosso - O Porquinho Voador
Tolkien;O Hobbit, O Silmarílion, Senhor dos Anéis (volume único)
Tom Cruise;A Guerra dos Mundos
Tom Six;A Centopéia Humana - Primeira Sequência
Viggo Mortensen;Senhor dos Anéis - A Sociedade do Anel, Senhor dos Anéis - As Duas Torres, Senhor dos Anéis - O Retorno do Rei
Warren Frost;Twin Peaks - 1ª Temporada
William Sylvester;2001: Uma Odisséia no Espaço
