Tipo;Mídia;Gênero;Preço
Filme;A Centopéia Humana - Primeira Sequência;Terror (ou horror);R$ 59,99
Filme;A Viagem de Chihiro;Animação;R$ 59,99
Filme;Meu Vizinho Totoro;Animação;R$ 59,99
Filme;Porco Rosso - O Porquinho Voador;Animação;R$ 59,99
Filme;Cidadão Kane;Drama;R$ 39,90
Filme;Laranja Mecânica;Fantasia;R$ 39,90
Filme;O Hobbit - A Batalha dos Cinco Exércitos;Aventura;R$ 39,90
Filme;Star Trek Into Darkness;Ficção Científica;R$ 35,90
Filme;Dr. Fantástico;Comédia;R$ 16,90
Livro;2010: Uma Odisseia no Espaço 2;Ficção Científica;R$ 43,33
Livro;Odisséia;Épico;R$ 41,80
Livro;2061: Uma Odisseia no Espaço 3;Ficção Científica;R$ 39,29
Livro;O Silmarílion;Aventura;R$ 32,10
Livro;3001: A Odisséia Final;Ficção Científica;R$ 25,00
Livro;Ilíada;Épico;R$ 22,14
Livro;A Guerra dos Mundos;Ficção Científica;R$ 19,90
Série;Twin Peaks - 1ª Temporada;Terror (ou horror);R$ 386,15
Série;Fringe - 2ª Temporada;Ficção Científica;R$ 59,90
