Código;Nome
1;James Mangold
2;Hugh Jackman
3;Famke Janssen
4;Tao Okamoto
5;Will Yun Lee
6;Chris Renaud
7;Steve Carell
8;Chris Columbus
9;J. K. Rowling
10;Daniel Radcliffe
11;Emma Watson
12;Rupert Grint
13;J. R. R. Tolkien
14;Walter Isaacson
15;Johnny Galecki
16;Jim Parsons
17;Kaley Cuoco
18;Francis Ford Coppola
19;Al Pacino
20;Alastair Fothergill
21;Hugh Laurie
22;Omar Epps
23;Robert Sean Leonard
24;Ridley Scott
25;Matt Damon
26;Christopher Nolan
27;Matthew McConaughey
28;Ben McKenzie
29;Stephen Amell
30;Grant Gustin
