Código;Nome
1;Kubrick
2;JJ Abrams
3;Peter Jackson
4;Tom Six
5;David Lynch
6;Hayao Miyazaki
7;Tolkien
8;Peter Selles
9;George C Scott
10;Malcolm McDowell
11;Patrick Magee
12;Adrienne Corri
13;Miriam Karlim
14;Keir Dullea
15;Gary Lockwood
16;William Sylvester
17;Douglas Rain
18;Arthur C. Clarke
19;Anthony Burgess
20;Anna Torv
21;Joshua Jackson
22;John Noble
23;Lance Reddick
24;Kirk Acevedo
25;Blair Brown
26;Jasika Nicole
27;Mark Valley
28;Leonard Nimoy
29;Elijah Wood
30;Ian McKellen
31;Liv Tyler
32;Viggo Mortensen
33;Sean Astin
34;Cate Blanchett
35;Martin Freeman
36;Richard Armitage
37;Benedict Cumberbatch
38;Orlando Bloom
39;Homero
40;Dieter Laser
41;Ashley C. Williams
42;Ashlynn Yennie
43;Akihiro Kitamura
44;Kyle MacLachlan
45;Michael Ontkean
46;Mädchen Amick
47;Dana Ashbrook
48;Richard Beymer
49;Lara Flynn Boyle
50;Sherilyn Fenn
51;Warren Frost
52;Rumi Hiragi
53;Miyu Irino
54;Mari Natsuki
55;Noriko Hidaka
56;Chika Sakamoto
57;Shigesato Itoi
58;Hitoshi Takagi
59;Shūichirō Moriyama
60;Tokiko Kato
61;Akemi Okamura
62;Akio _tsuka
63;Orson Welles
64;Joseph Cotten
65;Steven Spielberg
66;Tom Cruise
67;Dakota Fanning
68;Justin Chatwin
69;Miranda Otto
70;Tim Robbins
71;HG Wells
72;Frederik Pohl
73;Dave Matthews
