Pessoa;Produção
Angelina Jolie;O Procurado, O Turista
Anne Hathaway;Alice no País das Maravilhas
Audrey Tautou;O Fabuloso Destino de Amélie Poulain
Cassandra Clare;Os Instrumentos Mortais, Cidade dos Ossos
Chris Messina;Ruby Sparks, A Namorada Perfeita
Christopher Paolini;Eldest, Eragon
Emma Roberts;American Horror Story Coven
Evan Peters;American Horror Story Coven
Florian Henckel;O Turista
Freddie Highmore;As Crônicas de Spiderwick, Bates Motel
Helena Bonham Carter;Alice no País das Maravilhas, Uma viagem Extraordinária
Isaac Marion;Sangue Quente
James McAvoy;O Procurado
Jean-Pierre Juenet;O Fabuloso Destino de Amélie Poulain, Uma viagem Extraordinária
John Green;Quem é você, Alasca?
Johnathan Dayton;Ruby Sparks, A Namorada Perfeita
Johnny Depp;Alice no País das Maravilhas, O Turista
Jorge Furtado;O Homem que Copiava
Lazaro Ramos;O Homem que Copiava
Mark Waters;As Crônicas de Spiderwick
Mia Wasikowska;Alice no País das Maravilhas
Mila kunis;That '70s Show
Orson Scott Card;O Jogo do Exterminador
Patrick Rothfuss;O Nome do Vento
Paul Dano;Ruby Sparks, A Namorada Perfeita
Sam Taylor-Johnson;O Garoto de Liverpool
Thayssa Farmiga;American Horror Story Coven
Tim Burton;Alice no País das Maravilhas
Timur Bekmambetov;O Procurado
Zoe Karzan;Ruby Sparks, A Namorada Perfeita
