Código;Nome
1;C. S. Lewis
2;George R. R. Martin
3;J. K. Rowling
4;Suzanne Collins
5;James Dashner
6;Dan Brown
7;Robert Downey Jr.
8;Chris Evans
9;Mark Ruffalo
10;Chris Hemsworth
11;Scarlett Johansson
12;Jeremy Renner
13;Joss Whedon
14;Christopher Nolan
15;Christian Bale
16;Morgan Freeman
17;Gary Oldman
18;Michael Caine
19;George Miller
20;Tom Hardy
21;Charlize Theron
22;Guillermo del Toro
23;Charlie Hunnam
24;Guy Ritchie
25;Sam Raimi
26;Tobey Maguire
27;Jon Favreau
28;Gareth Edwards
29;Bryan Cranston
30;James Cameron
31;Leonardo DiCaprio
32;Sam Worthington
33;Wagner Moura
34;Michael C. Hall
