Pessoa;Produção
Adam Sandler;Grown Ups, Grown Ups 2
Andrew Stanton;Wall-e
Antoine de Saint-Exupéry;O Pequeno Príncipe
Ben Burtt;Wall-e
Bob Gunton;The Shawshank Redemption
Brad Pitt;Fight Club
Chris Rock;Grown Ups, Grown Ups 2
Christoph Waltz;Django Livre
Colin Farrell;True Detective 1ª Temporada
Daniel Alarcon;À noite andamos em círculos
David Fincher;Fight Club
Dennis Dugan;Grown Ups, Grown Ups 2
Edward Norton;Fight Club
Frank Darabont;The Shawshank Redemption
George Orwell;Animal Farm, Nineteen Eighty-Four
J. Tolkien;Bilbo's Last Song, The Lays of Beleriand
Jamie Foxx;Django Livre
John Krasinski;The Office 3ª Temporada, The Office 4ª Temporada, The Office 5ª Temporada
Kevin James;Grown Ups 2
Mae Whitman;Avatar: The Last Airbender 1ª Temporada
Matt Damon;The Martian
Morgan Freeman;The Shawshank Redemption
Quentin Tarantino;Django Livre
Rachel McAdams;True Detective 1ª Temporada
Rainn Wilson;The Office 3ª Temporada, The Office 4ª Temporada, The Office 5ª Temporada
Rebecca Williams;Forrest Gump
Ridley Scott;The Martian
Robert Zemeckis;Forrest Gump
Steve Carell;The Office 3ª Temporada, The Office 4ª Temporada, The Office 5ª Temporada
Tim Robbins;The Shawshank Redemption
Tom Hanks;Forrest Gump
Vince Vaughn;True Detective 1ª Temporada
Wagner Moura;Narcos 1ª Temporada
Zach Tyler;Avatar: The Last Airbender 1ª Temporada
