Código;Nome
1;Christian Bale
2;Heath Ledger
3;Christopher Nolan
4;Morgan Freeman
5;Frank Miller
6;Duncan Jones
7;Travis Filmmel
8;Eric Kripke
9;Jared Padalecki
10;Jesen Ackles
11;Chuck Lorre
12;Charlie Sheen
13;Jhon T.  Jones
14;Anne Fletcher
15;Jenna Dewan
16;Channing Taum
17;Brad Brid
18;Lizzie Munsey
19;Glória Pires
20;Daniel Filho
21;Tony Ramos
22;David O.Russell
23;Mark Wahlberg
24;J. K. Rowling
25;Ben Affleck
26;Mark Steven
27;Leonardo DiCaprio
28;Patrick Rothfuss
29;David Ayer
30;Brad Pitt
31;David Fincher
32;Zack Synder
33;Rodrigo Santoro
34;Igor Siqueira
35;Enrico Ferreira
