Pessoa;Produção
Bryan Cranston;Breaking Bad, Godzilla (2014)
C. S. Lewis;As Crônicas de Nárnia O Leão a Feiticeira e o Guarda-Roupa, As Crônicas de Nárnia Príncipe Caspian
Charlie Hunnam;Círculo de Fogo
Charlize Theron;Mad Max: Estrada da Fúria
Chris Evans;Os Vingadores
Chris Hemsworth;Os Vingadores
Christian Bale;Batman Begins
Christopher Nolan;Batman Begins
Dan Brown;O Código Da Vinci
Gareth Edwards;Godzilla (2014)
Gary Oldman;Batman Begins
George Miller;Mad Max: Estrada da Fúria
George R. R. Martin;As Crônicas de Gelo e Fogo A Game of Thrones
Guillermo del Toro;Círculo de Fogo
Guy Ritchie;Sherlock Holmes (filme de 2009)
J. K. Rowling;Harry Potter e a Pedra Filosofal
James Cameron;Avatar, Titanic
James Dashner;The Maze Runner Correr ou Morrer
Jeremy Renner;Os Vingadores
Jon Favreau;Homem de Ferro
Joss Whedon;Os Vingadores
Leonardo DiCaprio;Titanic
Mark Ruffalo;Os Vingadores
Michael C. Hall;Dexter
Michael Caine;Batman Begins
Morgan Freeman;Batman Begins
Robert Downey Jr.;Homem de Ferro, Os Vingadores, Sherlock Holmes (filme de 2009)
Sam Raimi;Homem-Aranha
Sam Worthington;Avatar
Scarlett Johansson;Os Vingadores
Suzanne Collins;The Hunger Games
Tobey Maguire;Homem-Aranha
Tom Hardy;Mad Max: Estrada da Fúria
Wagner Moura;Narcos
