Código;Nome
1;Quentin Tarantino
2;Frank Darabont
3;Tim Robbins
4;Morgan Freeman
5;Bob Gunton
6;Dennis Dugan
7;Adam Sandler
8;Chris Rock
9;Kevin James
10;David Fincher
11;Brad Pitt
12;Edward Norton
13;J. Tolkien
14;Greg Daniels
15;Ricky Gervais
16;Stephen Merchant
17;Rainn Wilson
18;John Krasinski
19;Steve Carell
20;Antoine de Saint-Exupéry
21;George Orwell
22;Nic Pizzolatto
23;Vince Vaughn
24;Colin Farrell
25;Rachel McAdams
26;Michael DiMartino
27;Bryan Konietzko
28;Zach Tyler
29;Mae Whitman
30;José Padilha
31;Wagner Moura
32;Andrew Stanton
33;Ben Burtt
34;Ridley Scott
35;Matt Damon
36;Robert Zemeckis
37;Tom Hanks
38;Rebecca Williams
39;Jamie Foxx
40;Christoph Waltz
41;Daniel Alarcon
