Pessoa;Produção
Alain-Fournier;O Bosque das Ilusões Perdidas
Albert Camus;O Estrangeiro
Alfonso Cuarón;Harry Potter e o Prisioneiro de Azkaban 
Antoine de Saint-Exupèry;O Pequeno Príncipe
Barkhad Abdi;Capitão Phillips
Bradley Cooper;O Lado bom da Vida, Trapaça
Cate Blanchett;Blue Jasmine
Chiwetel Ejiofor;12 Anos de Escravidão
Chris Columbus;Harry Potter e a Câmara Secreta , Harry Potter e a Pedra Filosofal 
Christian Bale;Trapaça
Daniel Radcliffe;Harry Potter e a Câmara Secreta , Harry Potter e a Ordem da Fênix , Harry Potter e a Pedra Filosofal , Harry Potter e as Relíquias da Morte: Parte 1, Harry Potter e as Relíquias da Morte: Parte 2, Harry Potter e o Cálice de Fogo , Harry Potter e o Enigma do Príncipe , Harry Potter e o Prisioneiro de Azkaban 
David O. Russell;O Lado bom da Vida, Trapaça
David Yates;Harry Potter e a Ordem da Fênix , Harry Potter e as Relíquias da Morte: Parte 1, Harry Potter e as Relíquias da Morte: Parte 2, Harry Potter e o Enigma do Príncipe 
Emma Thompson;Walt nos Bastidores de Mary Poppins
Emma Watson;Harry Potter e a Câmara Secreta , Harry Potter e a Ordem da Fênix , Harry Potter e a Pedra Filosofal , Harry Potter e as Relíquias da Morte: Parte 1, Harry Potter e as Relíquias da Morte: Parte 2, Harry Potter e o Cálice de Fogo , Harry Potter e o Enigma do Príncipe , Harry Potter e o Prisioneiro de Azkaban 
Ernest Hemingway;Por Quem os Sinos Dobram
Ethan Hawke;Antes da Meia Noite
Franz Kafka;O Processo
Hannah Arendt;A condição humana
Ian Murray McKellen;O Hobbit: A Desolação de Smaug, O Hobbit: Uma Jornada Inesperada
Idina Menzel;Frozen: Uma Aventura Congelante
Jamie Foxx;Django Livre
Jennifer Lawrence;O Lado bom da Vida
Jennifer Michelle Lee;Frozen: Uma Aventura Congelante
Joaquin Phoenix;Ela
John Lee Hancock;Walt nos Bastidores de Mary Poppins
John Steinbeck;As Vinhas da Ira
Julie Delpy;Antes da Meia Noite
Krisen Bell;Frozen: Uma Aventura Congelante
Leonardo DiCaprio;Django Livre, O Lobo de Wallstreet
Louis-Ferdinand Céline;Viagem ao fim da noite
Lupita Nyong'o;12 Anos de Escravidão
Marcel Proust;No caminho de Swann
Margot Robbie;O Lobo de Wallstreet
Martin John Christopher Freeman;O Hobbit: A Desolação de Smaug, O Hobbit: Uma Jornada Inesperada
Martin Scorsese;O Lobo de Wallstreet
Mike Newell;Harry Potter e o Cálice de Fogo 
Paul Greengrass;Capitão Phillips
Peter Jackson;O Hobbit: A Desolação de Smaug, O Hobbit: Uma Jornada Inesperada
Quentin Tarantino;Django Livre
Richard Linklater;Antes da Meia Noite
Rupert Grint;Harry Potter e a Câmara Secreta , Harry Potter e a Ordem da Fênix , Harry Potter e a Pedra Filosofal , Harry Potter e as Relíquias da Morte: Parte 1, Harry Potter e as Relíquias da Morte: Parte 2, Harry Potter e o Cálice de Fogo , Harry Potter e o Enigma do Príncipe , Harry Potter e o Prisioneiro de Azkaban 
Sally Hawkins;Blue Jasmine
Scarlett Johansson;Ela
Spike Jonze;Ela
Steve McQueen;12 Anos de Escravidão
Tom Hanks;Capitão Phillips, Walt nos Bastidores de Mary Poppins
Woody Allen;Blue Jasmine
