Código;Nome;Tipo;Diretor;A(u)tores;Tamanho;Gênero;Série;Temporada;Possui?;Consumiu?;Deseja?;Preço
1;O Hobbit;L;;7;328;AV;;;x;x;;39,13
2;Senhor dos Anéis (volume único);L;;7;1234;AV;;;x;;;121,5
3;O Silmarílion;L;;7;480;AV;;;;;x;32,1
4;Dr. Fantástico;F;1;8,9;102;CO;;;;;x;16,9
5;Laranja Mecânica;F;1;10,11,12,13;136;FA;;;;;x;39,9
6;2001: Uma Odisséia no Espaço;F;1;14,15,16,17;142;FC;;;x;x;;39,9
7;2001: Uma Odisséia no Espaço;L;;18;336;FC;;;x;;;29,93
8;2010: Uma Odisseia no Espaço 2;L;;18;362;FC;;;;;x;43,33
9;2061: Uma Odisseia no Espaço 3;L;;18;290;FC;;;;;x;39,29
10;3001: A Odisséia Final;L;;18;274;FC;;;;;x;25
11;Laranja Mecânica;L;;19;352;FA;;;x;;;41,23
12;Fringe - 1ª Temporada;S;;20,21,22,23,24,25,26,27,28;1000;FC;Fringe;1;x;x;;59,9
13;Fringe - 2ª Temporada;S;;20,21,22,23,24,25,26,27,28;1150;FC;Fringe;2;; ;x;59,9
14;Senhor dos Anéis - A Sociedade do Anel;F;3;29,30,31,32,33,34;178;AV;;;x;x;;39,9
15;Senhor dos Anéis - As Duas Torres;F;3;29,30,31,32,33,34;179;AV;;;x;x;;39,9
16;Senhor dos Anéis - O Retorno do Rei;F;3;29,30,31,32,33,34;201;AV;;;x;x;;39,9
17;O Hobbit - Uma Jornada Inesperada;F;3;30,35,36,37,38;169;AV;;;x;x;;39,9
18;O Hobbit - A Desolação de Smaug;F;3;30,35,36,37,38;161;AV;;;x;x;;39,9
19;O Hobbit - A Batalha dos Cinco Exércitos;F;3;30,35,36,37,38;144;AV;;;;x;x;39,9
20;Odisséia;L;;39;640;EP;;;;;x;41,8
21;Ilíada;L;;39;720;EP;;;;;x;22,14
22;A Centopéia Humana - Primeira Sequência;F;4;40,41,42,43;92;TE;;;;;x;59,99
23;Twin Peaks - 1ª Temporada;S;;44,45,46,47,48,49,50,51;1636;TE;Twin Peaks;1;;;x;386,15
24;A Viagem de Chihiro;F;6;52,53,54;124;AN;;;;x;x;59,99
25;Meu Vizinho Totoro;F;6;55,56,57,58;86;AN;;;;x;x;59,99
26;Porco Rosso - O Porquinho Voador;F;6;59,60,61,62;93;AN;;;;;x;59,99
27;Cidadão Kane;F;63;63,64;119;DR;;;;;x;39,9
28;A Guerra dos Mundos;F;65;66,67,68,69,70;116;FC;;;x;x;;39,9
29;A Guerra dos Mundos;L;;71;303;FC;;;;;x;19,9
30;The Last Theorem;L;;18,72;311;FC;;;x;;;129
31;Star Trek Into Darkness;F;2;;133;FC;;;;;x;35,9
