Pessoa;Produção
Alphonse Daudet;Cartas do meu Moinho
Audrey Hepburn;My Fair Lady
Chris Evans;Os Vingadores
Claudia Cardinale;Era uma Vez no Oeste
Clint Eastwood;Invictus
David Lean;Doutor Jivago
Debbie Reynolds;Cantando na Chuva
Donald Connor;Cantando na Chuva
Eça de Queirós;A Capital, O Primo Basílio, Os Maias
Eleanor Porter;Pollyana Moça
Gene Kelly;Cantando na Chuva, Sinfonia de Paris
George Cukor;Driving Miss Daisy, My Fair Lady
Jennifer Aniston;Friends - 1ª Temporada, Friends - 2ª Temporada, Friends - 3ª Temporada
Joss Whedon;Os Vingadores
Julie Christie;Doutor Jivago
Ken Kwapis;Ele não está tão afim de você
Lima Barreto;Triste Fim de Policarpo Quaresma
Matt Damon;Invictus
Matt Leblanc;Friends - 1ª Temporada, Friends - 2ª Temporada, Friends - 3ª Temporada
Morgan Freeman;Driving Miss Daisy, Invictus
Omar Sharif;Doutor Jivago
Rex Harrison;My Fair Lady
Robert Downey Junior;Os Vingadores
Samuel Jackson;Os Vingadores
Scarlett Johansson;Ele não está tão afim de você, Os Vingadores
Sempé Goscinny;Novas Aventura do Pequeno Nicolau
Sergio Leone;Era uma Vez no Oeste
Stanley Donen;Cantando na Chuva
Vincente Minelli;Sinfonia de Paris
Wagner Moura;Narcos
